,조사연월,가구구분코드,가구원수,취업인원수,노인가구여부,가구주_연령,가구주_학력코드,가구주_취업여부,가구주_10차산업분류코드,거처구분코드,입주형태코드,전국전체가구_1인이상소득10분위코드,소득구간코드,가계지출금액,가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액,도시읍면부구분코드
9270,202400.0,2.0,1.0,1.0,0.0,56.0,5.0,1.0,K,2.0,1.0,7.0,6.0,3153473.0,1875431.0,125477.0,2950.0,59750.0,132338.0,80407.0,52867.0,279488.0,62581.0,404563.0,0.0,336700.0,338311.0,1.0
9271,202400.0,2.0,1.0,1.0,0.0,56.0,5.0,1.0,S,1.0,6.0,3.0,3.0,1892444.0,1625679.0,133113.0,161720.0,160197.0,296117.0,30293.0,19667.0,194153.0,103949.0,117003.0,0.0,328733.0,80734.0,1.0
9272,202400.0,2.0,1.0,1.0,0.0,56.0,6.0,1.0,A,1.0,1.0,10.0,8.0,4177604.0,4070774.0,368690.0,57560.0,185420.0,49750.0,24920.0,2237525.0,104700.0,341090.0,46420.0,0.0,521400.0,133299.0,0.0
9273,202400.0,2.0,1.0,1.0,0.0,57.0,3.0,1.0,S,4.0,6.0,,1.0,919865.0,847906.0,221630.0,54000.0,0.0,363346.0,2790.0,0.0,50000.0,110270.0,26150.0,0.0,0.0,19720.0,1.0
9274,202400.0,2.0,1.0,1.0,0.0,57.0,4.0,1.0,A,,1.0,9.0,8.0,2182642.0,1684097.0,398558.0,33233.0,20617.0,129478.0,36917.0,225737.0,,44205.0,74767.0,0.0,532275.0,7977.0,0.0
9275,202400.0,2.0,1.0,1.0,0.0,57.0,4.0,1.0,C,2.0,1.0,6.0,6.0,2380305.0,1422399.0,353740.0,22860.0,0.0,264180.0,22900.0,0.0,231700.0,109730.0,2500.0,0.0,235900.0,178889.0,0.0
9276,202400.0,2.0,1.0,1.0,0.0,57.0,4.0,1.0,H,2.0,1.0,5.0,4.0,2165761.0,1929928.0,310690.0,199483.0,15650.0,184645.0,346970.0,197970.0,151667.0,65519.0,26143.0,0.0,310067.0,121124.0,1.0
9277,202400.0,2.0,1.0,1.0,0.0,57.0,4.0,1.0,K,1.0,6.0,4.0,4.0,1748568.0,1510542.0,247662.0,32528.0,59822.0,324728.0,11844.0,5678.0,127724.0,73280.0,17300.0,,383100.0,226876.0,1.0
9278,202400.0,2.0,1.0,1.0,0.0,57.0,4.0,1.0,L,2.0,4.0,7.0,7.0,2550497.0,1438962.0,105064.0,15852.0,44313.0,144807.0,36933.0,89910.0,420000.0,111917.0,29085.0,0.0,206480.0,234601.0,1.0
9279,202400.0,2.0,1.0,1.0,0.0,57.0,4.0,1.0,N,2.0,6.0,7.0,6.0,4012575.0,2716608.0,120067.0,19862.0,72340.0,578595.0,427396.0,285265.0,716030.0,75737.0,44651.0,0.0,208393.0,168273.0,0.0
9280,202400.0,2.0,1.0,1.0,0.0,57.0,4.0,1.0,P,5.0,6.0,3.0,3.0,2386721.0,1885046.0,337586.0,11370.0,37167.0,567653.0,61307.0,21210.0,483623.0,54603.0,23954.0,0.0,130383.0,156190.0,1.0
9281,202400.0,2.0,1.0,1.0,0.0,57.0,4.0,1.0,S,1.0,1.0,6.0,5.0,1120993.0,883001.0,249145.0,3883.0,71583.0,50512.0,3740.0,6117.0,100000.0,46488.0,3333.0,0.0,95817.0,252383.0,1.0
9282,202400.0,2.0,1.0,1.0,0.0,57.0,4.0,1.0,S,2.0,1.0,1.0,2.0,959594.0,845654.0,465375.0,3000.0,9950.0,76050.0,19775.0,67500.0,44900.0,13780.0,9000.0,0.0,60750.0,75574.0,1.0
9283,202400.0,2.0,1.0,1.0,0.0,57.0,4.0,1.0,S,2.0,1.0,5.0,4.0,1571736.0,758934.0,141853.0,,53083.0,156894.0,43733.0,104475.0,66117.0,53850.0,22833.0,0.0,45833.0,69795.0,1.0
9284,202400.0,2.0,1.0,1.0,0.0,57.0,5.0,1.0,F,1.0,6.0,2.0,3.0,2289373.0,1179296.0,102870.0,0.0,12000.0,307430.0,500.0,26667.0,215537.0,39517.0,19167.0,0.0,279533.0,176076.0,1.0
9285,202400.0,2.0,1.0,1.0,0.0,57.0,5.0,1.0,I,6.0,6.0,8.0,8.0,7877299.0,4527299.0,151997.0,272717.0,18167.0,1725060.0,6433.0,17717.0,300263.0,85097.0,500945.0,0.0,1318933.0,129970.0,1.0
9286,202400.0,2.0,1.0,1.0,0.0,57.0,5.0,1.0,Q,1.0,6.0,5.0,5.0,2577415.0,1496615.0,19960.0,0.0,92500.0,342230.0,107410.0,73600.0,360200.0,71000.0,0.0,0.0,314700.0,115015.0,1.0
9287,202400.0,2.0,1.0,1.0,0.0,57.0,6.0,1.0,N,2.0,1.0,2.0,2.0,1530631.0,1265631.0,324740.0,120000.0,0.0,284360.0,15900.0,7100.0,86430.0,89290.0,2500.0,0.0,300000.0,35311.0,1.0
9288,202400.0,2.0,1.0,1.0,0.0,57.0,6.0,1.0,P,1.0,6.0,6.0,5.0,3283727.0,2989574.0,399970.0,600.0,85600.0,808840.0,183813.0,432250.0,194200.0,42920.0,20033.0,0.0,559873.0,261474.0,1.0
9289,202400.0,2.0,1.0,1.0,0.0,57.0,6.0,1.0,P,2.0,1.0,8.0,8.0,5224443.0,3547514.0,768350.0,90320.0,471550.0,738830.0,175500.0,149534.0,177100.0,95470.0,113180.0,0.0,60500.0,707180.0,1.0
9290,202400.0,2.0,1.0,1.0,0.0,57.0,6.0,1.0,Q,1.0,2.0,4.0,4.0,1702122.0,1317673.0,55294.0,0.0,51150.0,615649.0,61733.0,26600.0,183583.0,68980.0,42000.0,3333.0,75133.0,134217.0,1.0
9291,202400.0,2.0,1.0,1.0,0.0,58.0,4.0,1.0,A,1.0,1.0,4.0,4.0,1974731.0,1733590.0,575546.0,150400.0,51667.0,96888.0,23737.0,255130.0,175333.0,33253.0,9750.0,0.0,271607.0,90279.0,0.0
9292,202400.0,2.0,1.0,1.0,0.0,58.0,4.0,1.0,A,1.0,2.0,7.0,6.0,2930206.0,2465062.0,318868.0,3798.0,26120.0,993636.0,214136.0,86540.0,238000.0,49400.0,32656.0,0.0,303260.0,198649.0,0.0
9293,202400.0,2.0,1.0,1.0,0.0,58.0,4.0,1.0,C,1.0,1.0,4.0,4.0,3411623.0,1762590.0,91987.0,12790.0,59058.0,303322.0,61125.0,26250.0,342333.0,58223.0,79867.0,0.0,537017.0,190619.0,0.0
9294,202400.0,2.0,1.0,1.0,0.0,58.0,4.0,1.0,C,1.0,6.0,3.0,3.0,2156372.0,1439047.0,139105.0,630.0,55167.0,498913.0,19087.0,17417.0,196150.0,94002.0,54367.0,0.0,265117.0,99094.0,1.0
9295,202400.0,2.0,1.0,1.0,0.0,58.0,4.0,1.0,G,1.0,6.0,8.0,7.0,4243985.0,1821645.0,115340.0,0.0,23760.0,384255.0,6100.0,35600.0,297450.0,96940.0,30450.0,0.0,818500.0,13250.0,1.0
9296,202400.0,2.0,1.0,1.0,0.0,58.0,4.0,1.0,H,1.0,1.0,3.0,3.0,2645157.0,1940830.0,42507.0,148933.0,60933.0,281500.0,93020.0,156633.0,656627.0,73184.0,68288.0,0.0,182500.0,176705.0,1.0
9297,202400.0,2.0,1.0,1.0,0.0,58.0,4.0,1.0,H,2.0,6.0,3.0,3.0,1102969.0,1066709.0,57180.0,151500.0,0.0,196060.0,300.0,7000.0,103000.0,57000.0,2500.0,0.0,350800.0,141369.0,1.0
9298,202400.0,2.0,1.0,1.0,0.0,58.0,4.0,1.0,I,1.0,6.0,3.0,3.0,2882260.0,2293084.0,149182.0,0.0,325295.0,385598.0,104228.0,305973.0,36585.0,191347.0,220330.0,0.0,322667.0,251879.0,1.0
9299,202400.0,2.0,1.0,1.0,0.0,58.0,4.0,1.0,L,2.0,1.0,5.0,4.0,3048476.0,2212025.0,863345.0,1122.0,,165927.0,37505.0,62493.0,24183.0,42940.0,573413.0,0.0,267110.0,158153.0,1.0
9300,202400.0,2.0,1.0,1.0,0.0,58.0,4.0,1.0,S,1.0,6.0,1.0,2.0,1107620.0,921487.0,165777.0,0.0,5317.0,378625.0,6262.0,131950.0,106243.0,35632.0,39449.0,0.0,36817.0,15416.0,1.0
9301,202400.0,2.0,1.0,1.0,0.0,58.0,5.0,1.0,G,2.0,1.0,7.0,7.0,2785358.0,1765774.0,92334.0,16070.0,112608.0,149015.0,2620.0,142580.0,291754.0,113423.0,354382.0,0.0,152740.0,338248.0,1.0
9302,202400.0,2.0,1.0,1.0,0.0,58.0,6.0,1.0,P,2.0,1.0,2.0,2.0,2609679.0,2106402.0,801449.0,13475.0,81378.0,325237.0,91137.0,52867.0,53553.0,47000.0,111751.0,0.0,331750.0,196806.0,1.0
9303,202400.0,2.0,1.0,1.0,0.0,58.0,7.0,1.0,H,2.0,4.0,5.0,5.0,1757090.0,1568160.0,425382.0,16373.0,66092.0,99037.0,9500.0,28383.0,219467.0,54304.0,43500.0,0.0,458083.0,148039.0,1.0
9304,202400.0,2.0,1.0,1.0,0.0,58.0,7.0,1.0,P,2.0,6.0,5.0,5.0,2302182.0,1727077.0,371401.0,11377.0,27000.0,416283.0,65858.0,4167.0,221052.0,59594.0,41470.0,0.0,366433.0,142441.0,1.0
9305,202400.0,2.0,1.0,1.0,0.0,59.0,3.0,1.0,R,2.0,1.0,4.0,4.0,4210826.0,3269649.0,962143.0,147767.0,430984.0,167357.0,181567.0,134533.0,213600.0,70177.0,38000.0,0.0,508700.0,414822.0,1.0
9306,202400.0,2.0,1.0,1.0,0.0,59.0,4.0,1.0,C,1.0,6.0,1.0,1.0,1844324.0,1614464.0,260965.0,0.0,11500.0,346800.0,164105.0,111830.0,258075.0,79077.0,27863.0,0.0,202400.0,151850.0,1.0
9307,202400.0,2.0,1.0,1.0,0.0,59.0,4.0,1.0,H,1.0,6.0,1.0,1.0,1616520.0,1509970.0,390953.0,111337.0,73333.0,432097.0,40623.0,74933.0,15527.0,86800.0,49567.0,0.0,184567.0,50233.0,1.0
9308,202400.0,2.0,1.0,1.0,0.0,59.0,4.0,1.0,H,2.0,1.0,7.0,6.0,1640139.0,1065599.0,68237.0,97500.0,0.0,106372.0,28667.0,11633.0,44083.0,50964.0,182622.0,0.0,306450.0,169072.0,0.0
9309,202400.0,2.0,1.0,1.0,0.0,59.0,4.0,1.0,I,2.0,1.0,1.0,1.0,2022847.0,1396167.0,202373.0,315723.0,0.0,102070.0,7013.0,46275.0,175141.0,76151.0,61232.0,0.0,354875.0,55315.0,0.0
9310,202400.0,2.0,1.0,1.0,0.0,59.0,4.0,,I,2.0,1.0,7.0,6.0,2663897.0,1728126.0,365328.0,47930.0,92510.0,156418.0,152543.0,101087.0,186783.0,164095.0,21750.0,0.0,251850.0,187831.0,0.0
9311,202400.0,2.0,1.0,1.0,0.0,59.0,4.0,1.0,S,1.0,6.0,2.0,2.0,1008740.0,930990.0,205647.0,189342.0,10017.0,264273.0,9280.0,1042.0,56667.0,75990.0,15852.0,0.0,86250.0,16632.0,1.0
9312,202400.0,2.0,1.0,1.0,0.0,59.0,4.0,1.0,S,1.0,6.0,4.0,4.0,2512799.0,1915990.0,646782.0,0.0,59552.0,263088.0,31875.0,55200.0,387866.0,111429.0,40845.0,0.0,113017.0,206337.0,
9313,202400.0,2.0,1.0,1.0,0.0,59.0,5.0,1.0,H,1.0,6.0,10.0,8.0,3672575.0,1720175.0,139612.0,0.0,130720.0,511970.0,248280.0,6000.0,153000.0,45000.0,43540.0,0.0,195250.0,246803.0,1.0
9314,202400.0,2.0,1.0,1.0,0.0,59.0,6.0,1.0,G,2.0,1.0,6.0,5.0,1721274.0,1282369.0,336738.0,4050.0,105845.0,206902.0,64443.0,22150.0,14830.0,58885.0,53300.0,0.0,249983.0,165242.0,0.0
9315,202400.0,2.0,1.0,1.0,0.0,59.0,6.0,1.0,G,2.0,1.0,6.0,6.0,3877499.0,2262886.0,301662.0,60850.0,31967.0,227518.0,6753.0,381233.0,90590.0,113613.0,716040.0,0.0,140430.0,192229.0,1.0
9316,202400.0,2.0,1.0,1.0,0.0,59.0,6.0,1.0,H,2.0,5.0,9.0,8.0,4858036.0,1896721.0,104183.0,0.0,15000.0,402614.0,55000.0,86750.0,380000.0,169445.0,26500.0,0.0,408900.0,248329.0,1.0
9317,202400.0,2.0,1.0,1.0,0.0,59.0,6.0,1.0,K,2.0,1.0,8.0,8.0,3495685.0,2465769.0,109157.0,0.0,90274.0,154512.0,228826.0,588590.0,191400.0,41958.0,29527.0,375000.0,264050.0,392475.0,1.0
9318,202400.0,2.0,1.0,1.0,0.0,59.0,6.0,1.0,L,5.0,1.0,1.0,1.0,1407150.0,1017680.0,394848.0,250.0,10423.0,26717.0,20775.0,43217.0,181211.0,128411.0,50370.0,0.0,86833.0,74626.0,0.0
9319,202400.0,2.0,1.0,1.0,0.0,59.0,6.0,1.0,P,2.0,1.0,8.0,8.0,3953962.0,2871686.0,421156.0,9096.0,299978.0,218878.0,75898.0,132174.0,694876.0,91150.0,175200.0,0.0,416480.0,336799.0,1.0
9320,202400.0,2.0,1.0,1.0,0.0,59.0,7.0,1.0,S,1.0,6.0,7.0,6.0,4464634.0,2480751.0,263677.0,52900.0,78200.0,453007.0,36760.0,73933.0,86200.0,214250.0,34207.0,0.0,997233.0,190384.0,1.0
9321,202400.0,2.0,1.0,1.0,0.0,60.0,2.0,1.0,I,1.0,1.0,10.0,8.0,3774730.0,2940150.0,496855.0,19267.0,493233.0,32480.0,164432.0,541800.0,110000.0,65867.0,43933.0,150000.0,111093.0,711190.0,1.0
9322,202400.0,2.0,1.0,1.0,0.0,60.0,2.0,1.0,I,2.0,1.0,3.0,3.0,2578404.0,1903807.0,271717.0,4833.0,56203.0,380257.0,354610.0,76177.0,67657.0,42000.0,57564.0,0.0,384667.0,208123.0,1.0
